## htsjdk.samtools.metrics.StringHeader
# picard.analysis.directed.CollectTargetedPcrMetrics AMPLICON_INTERVALS=AH_S1_target.interval_list TARGET_INTERVALS=[AH_S1_target.interval_list] INPUT=AH_S1.b37.bam OUTPUT=AH_S1_collected_TargetedPCR_metrics.txt REFERENCE_SEQUENCE=/n/groups/shared_databases/gatk/human_g1k_v37.fasta    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=1 MINIMUM_BASE_QUALITY=0 CLIP_OVERLAPPING_READS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 19 17:45:01 EST 2020

## METRICS CLASS	picard.analysis.directed.TargetedPcrMetrics
CUSTOM_AMPLICON_SET	GENOME_SIZE	AMPLICON_TERRITORY	TARGET_TERRITORY	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PF_SELECTED_PAIRS	PF_SELECTED_UNIQUE_PAIRS	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_AMPLICON_BASES	NEAR_AMPLICON_BASES	OFF_AMPLICON_BASES	ON_TARGET_BASES	ON_TARGET_FROM_PAIR_BASES	PCT_AMPLIFIED_BASES	PCT_OFF_AMPLICON	ON_AMPLICON_VS_SELECTED	MEAN_AMPLICON_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
AH_S1_target	3101804739	23498	23498	2000000	2000000	300000000	20892	1	0.010446	14403	948114	4029	0.689403	283454480	1812176	195086105	75600787	12767588	719566	713570	0.954957	0.045043	0.720708	8302.242957	30.622436	25	90850.342347	0	0.993607	0.000362	0	0	0.006004	1.80132	0.999957	0.999957	0.98336	0.695463	0.354328	12.716345	1.916709	0.995386	23			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1	0
1	0	0
2	2	0
3	0	0
4	2	0
5	106	0
6	85	12
7	13	0
8	123	0
9	59	0
10	239	4202
11	204	0
12	1109	0
13	715	0
14	627	0
15	454	0
16	831	0
17	937	0
18	998	0
19	651	0
20	664	18629
21	736	0
22	575	0
23	649	0
24	1127	0
25	1179	0
26	741	0
27	951	0
28	706	0
29	688	0
30	599	696468
31	575	0
32	358	0
33	335	0
34	255	0
35	350	0
36	286	0
37	175	0
38	151	0
39	133	0
40	145	0
41	208	0
42	241	0
43	373	0
44	347	0
45	368	0
46	275	0
47	212	0
48	220	0
49	185	0
50	124	0
51	96	0
52	161	0
53	127	0
54	67	0
55	49	0
56	157	0
57	17	0
58	30	0
59	27	0
60	39	0
61	84	0
62	64	0
63	111	0
64	47	0
65	70	0
66	53	0
67	107	0
68	73	0
69	91	0
70	12	0
71	69	0
72	22	0
73	16	0
74	28	0
75	30	0
76	43	0
77	7	0
78	45	0
79	13	0
80	49	0
81	14	0
82	7	0
83	7	0
84	10	0
85	10	0
86	47	0
87	23	0
88	41	0
89	16	0
90	0	0
91	2	0
92	1	0
93	0	0
94	1	0
95	2	0
96	9	0
97	2	0
98	7	0
99	4	0
100	8	0
101	9	0
102	5	0
103	1	0
104	0	0
105	0	0
106	1	0
107	1	0
108	1	0
109	2	0
110	10	0
111	19	0
112	9	0
113	5	0
114	12	0
115	6	0
116	14	0
117	11	0
118	15	0
119	2	0
120	1	0
121	0	0
122	0	0
123	2	0
124	2	0
125	2	0
126	1	0
127	10	0
128	14	0
129	4	0
130	5	0
131	3	0
132	1	0
133	5	0
134	2	0
135	5	0
136	7	0
137	0	0
138	0	0
139	1	0
140	0	0
141	0	0
142	0	0
143	0	0
144	1	0
145	0	0
146	0	0
147	0	0
148	0	0
149	7	0
150	9	0
151	2	0
152	1	0
153	0	0
154	4	0
155	14	0
156	0	0
157	6	0
158	7	0
159	8	0
160	1	0
161	0	0
162	0	0
163	1	0
164	0	0
165	0	0
166	0	0
167	1	0
168	2	0
169	9	0
170	7	0
171	23	0
172	4	0
173	5	0
174	1	0
175	1	0
176	5	0
177	2	0
178	4	0
179	22	0
180	3	0
181	6	0
182	13	0
183	3	0
184	2	0
185	0	0
186	1	0
187	1	0
188	1	0
189	3	0
190	6	0
191	3	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	19	0

